                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.47289,                0.35669,                0.87688,                0.93675,                 0.9591,                0.98566,                0.91354,                0.43369,                0.31149,                 0.8895,              0.0006634,              0.0006634,              0.0006634
                     37,                 0.4686,                0.36571,                0.88294,                0.93539,                0.92982,                0.96616,                0.89913,                0.42097,                0.34553,                0.87848,              0.0006535,              0.0006535,              0.0006535
                     38,                0.46735,                0.36631,                0.88119,                0.92509,                0.92012,                0.97504,                0.89946,                0.43707,                0.35363,                0.89439,              0.0006436,              0.0006436,              0.0006436
                     39,                0.46552,                0.34491,                0.88242,                0.95167,                0.94763,                0.98167,                0.91252,                0.42116,                0.30095,                 0.8777,              0.0006337,              0.0006337,              0.0006337
                     40,                0.45628,                0.34053,                0.87564,                0.90981,                0.96653,                0.98273,                0.91005,                0.42869,                0.33281,                0.88157,              0.0006238,              0.0006238,              0.0006238
                     41,                0.44275,                 0.3422,                0.87252,                0.95424,                0.95949,                0.98387,                0.91967,                0.41636,                0.28753,                0.87537,              0.0006139,              0.0006139,              0.0006139
                     42,                0.45285,                0.34354,                0.87332,                0.94191,                0.93604,                0.96725,                0.89817,                0.42127,                0.34842,                0.88421,               0.000604,               0.000604,               0.000604
                     43,                0.45961,                0.34447,                0.87659,                0.96133,                0.96985,                0.98699,                0.91594,                0.41933,                0.25994,                 0.8758,              0.0005941,              0.0005941,              0.0005941
                     44,                0.45681,                0.33806,                0.87985,                0.96007,                0.93743,                0.98323,                0.91548,                0.41914,                0.30303,                0.87806,              0.0005842,              0.0005842,              0.0005842
                     45,                0.44685,                0.32235,                0.87168,                0.94966,                0.93827,                 0.9809,                0.91096,                0.41655,                0.30369,                0.87405,              0.0005743,              0.0005743,              0.0005743
                     46,                0.44714,                0.32492,                0.87127,                0.96176,                0.96073,                0.98228,                0.91397,                0.41282,                0.27796,                0.87651,              0.0005644,              0.0005644,              0.0005644
                     47,                0.44361,                0.32325,                 0.8716,                0.96777,                 0.9726,                0.98912,                0.92785,                0.40686,                0.25448,                0.87288,              0.0005545,              0.0005545,              0.0005545
                     48,                0.44994,                0.31971,                0.87779,                0.95178,                0.95542,                0.98179,                0.91448,                0.41513,                0.26902,                 0.8808,              0.0005446,              0.0005446,              0.0005446
                     49,                 0.4472,                0.32933,                0.87529,                0.95205,                0.96752,                0.98917,                0.92364,                0.40784,                0.25699,                0.87261,              0.0005347,              0.0005347,              0.0005347
                     50,                0.43711,                0.31931,                0.87516,                0.94817,                0.95725,                 0.9877,                0.92505,                0.40271,                0.25946,                0.87539,              0.0005248,              0.0005248,              0.0005248
                     51,                0.44081,                0.30911,                0.87241,                0.96517,                0.95814,                0.98769,                0.92348,                0.41102,                0.24657,                0.87373,              0.0005149,              0.0005149,              0.0005149
                     52,                0.43244,                0.29321,                0.86564,                 0.9517,                0.94499,                0.98707,                 0.9221,                0.40925,                0.27463,                0.87687,               0.000505,               0.000505,               0.000505
                     53,                0.43568,                0.30542,                0.86952,                0.92583,                0.97084,                0.98305,                0.91532,                0.41295,                0.31236,                0.87629,              0.0004951,              0.0004951,              0.0004951
                     54,                0.42283,                0.31579,                0.86665,                0.94889,                0.96718,                0.98396,                0.91661,                0.40765,                0.26026,                0.87077,              0.0004852,              0.0004852,              0.0004852
                     55,                0.43423,                0.29633,                0.86694,                0.96424,                0.93987,                0.98678,                0.92074,                0.40692,                 0.2829,                0.87419,              0.0004753,              0.0004753,              0.0004753
                     56,                0.42594,                0.29412,                0.86458,                0.95762,                0.96037,                0.98696,                0.92281,                 0.4057,                0.28105,                0.87365,              0.0004654,              0.0004654,              0.0004654
                     57,                0.42345,                0.28478,                0.86488,                0.93169,                 0.9646,                0.98043,                0.91573,                0.40779,                0.28619,                0.87277,              0.0004555,              0.0004555,              0.0004555
                     58,                0.42729,                0.28098,                0.86611,                0.93822,                0.97489,                0.98678,                0.92692,                0.40103,                0.26627,                 0.8716,              0.0004456,              0.0004456,              0.0004456
                     59,                0.43345,                 0.2968,                0.86464,                0.95747,                0.94115,                0.98175,                0.91688,                0.40605,                0.34674,                0.87905,              0.0004357,              0.0004357,              0.0004357
                     60,                0.43389,                0.27688,                0.86867,                0.95892,                0.97005,                0.98766,                0.92862,                0.40104,                0.26496,                0.87145,              0.0004258,              0.0004258,              0.0004258
                     61,                0.41146,                0.28591,                0.85654,                0.94451,                0.96943,                0.98663,                0.92255,                0.40604,                0.25775,                0.87043,              0.0004159,              0.0004159,              0.0004159
                     62,                0.42921,                0.29444,                0.87004,                0.95546,                0.94229,                0.98359,                0.92076,                0.40431,                0.27555,                0.87517,               0.000406,               0.000406,               0.000406
                     63,                0.41899,                0.27909,                0.86564,                0.96286,                0.96314,                0.98462,                 0.9181,                0.40593,                0.25293,                0.87727,              0.0003961,              0.0003961,              0.0003961
                     64,                 0.4159,                0.26674,                0.86177,                0.95495,                 0.9681,                0.98473,                0.92228,                0.40222,                0.26029,                0.87465,              0.0003862,              0.0003862,              0.0003862
                     65,                0.41304,                0.27263,                0.86265,                0.94796,                0.96338,                0.98202,                0.92053,                0.40176,                0.25421,                0.87659,              0.0003763,              0.0003763,              0.0003763
                     66,                0.40662,                 0.2751,                0.86012,                0.97384,                 0.9524,                0.98891,                0.92723,                0.39871,                0.25291,                0.87373,              0.0003664,              0.0003664,              0.0003664
                     67,                 0.4087,                0.26081,                0.85908,                0.95166,                0.98009,                0.98799,                0.92149,                0.40432,                0.24026,                0.87221,              0.0003565,              0.0003565,              0.0003565
                     68,                0.40188,                0.25461,                0.86051,                 0.9576,                0.97389,                0.98802,                0.92276,                0.40046,                0.24458,                0.87385,              0.0003466,              0.0003466,              0.0003466
                     69,                0.41288,                0.26289,                 0.8631,                0.96305,                0.97188,                0.98777,                0.92366,                0.40081,                0.25091,                 0.8727,              0.0003367,              0.0003367,              0.0003367
                     70,                0.40909,                0.25945,                0.85964,                0.95552,                0.96019,                0.98565,                0.92135,                0.39483,                0.26001,                0.87204,              0.0003268,              0.0003268,              0.0003268
                     71,                0.40077,                0.25232,                0.85551,                0.94719,                0.96472,                0.98946,                 0.9278,                0.40105,                0.24655,                 0.8737,              0.0003169,              0.0003169,              0.0003169
                     72,                0.40087,                0.26525,                0.85722,                0.93552,                0.97951,                0.98679,                0.92383,                0.39742,                0.24737,                0.87471,               0.000307,               0.000307,               0.000307
                     73,                0.40739,                0.25526,                0.86118,                0.96835,                0.97452,                0.98749,                0.92941,                 0.3968,                 0.2258,                0.87096,              0.0002971,              0.0002971,              0.0002971
                     74,                0.39976,                0.24432,                 0.8593,                0.93088,                 0.9667,                0.98659,                 0.9245,                0.39887,                0.26411,                0.87307,              0.0002872,              0.0002872,              0.0002872
                     75,                0.39741,                0.24947,                0.85484,                0.96469,                0.98066,                0.99066,                0.92838,                0.39918,                0.22507,                0.87211,              0.0002773,              0.0002773,              0.0002773
                     76,                0.39842,                0.24068,                0.85509,                0.95269,                0.96934,                0.98729,                0.92948,                0.39412,                0.24902,                0.86761,              0.0002674,              0.0002674,              0.0002674
                     77,                0.38839,                0.24151,                 0.8509,                0.94755,                0.97114,                0.98677,                0.92712,                 0.3948,                0.23277,                0.87226,              0.0002575,              0.0002575,              0.0002575
                     78,                0.40032,                0.24876,                0.85565,                0.94984,                0.97183,                0.99112,                0.92968,                0.39672,                0.25751,                0.87158,              0.0002476,              0.0002476,              0.0002476
                     79,                0.39469,                0.24636,                0.85578,                0.94543,                0.96873,                0.98957,                0.93515,                0.39415,                0.24655,                0.86772,              0.0002377,              0.0002377,              0.0002377
                     80,                0.39508,                0.24568,                0.86002,                0.95354,                0.98382,                 0.9866,                0.92795,                0.39632,                0.22634,                0.87159,              0.0002278,              0.0002278,              0.0002278
                     81,                0.38613,                0.22991,                0.84877,                0.97093,                0.96723,                0.98493,                0.92589,                0.39375,                0.23635,                0.86973,              0.0002179,              0.0002179,              0.0002179
                     82,                0.38965,                0.24374,                0.85733,                0.97156,                0.98044,                0.99008,                0.93155,                0.38855,                 0.2259,                0.86753,               0.000208,               0.000208,               0.000208
                     83,                0.38554,                0.23466,                0.85456,                0.96536,                 0.9785,                0.98563,                0.92411,                0.39197,                0.22421,                0.86919,              0.0001981,              0.0001981,              0.0001981
                     84,                0.38742,                0.22918,                0.85302,                0.95078,                0.97565,                0.98897,                0.93029,                 0.3953,                0.25466,                0.87116,              0.0001882,              0.0001882,              0.0001882
                     85,                0.38168,                0.23148,                0.85569,                0.96448,                0.97232,                0.98578,                 0.9239,                0.39572,                0.24029,                0.87108,              0.0001783,              0.0001783,              0.0001783
                     86,                0.38127,                0.22669,                0.85307,                0.96482,                0.97427,                 0.9853,                0.92526,                0.39702,                0.24234,                0.87302,              0.0001684,              0.0001684,              0.0001684
                     87,                  0.377,                0.21772,                0.85105,                0.96522,                0.96599,                0.98662,                 0.9275,                0.39434,                0.24259,                0.87121,              0.0001585,              0.0001585,              0.0001585
                     88,                0.37967,                0.21873,                0.85027,                0.96573,                0.96589,                 0.9848,                0.92571,                0.39835,                0.25714,                0.87057,              0.0001486,              0.0001486,              0.0001486
                     89,                0.37114,                 0.2191,                0.84394,                0.97126,                0.97267,                0.99088,                0.93202,                0.39638,                  0.225,                0.87327,              0.0001387,              0.0001387,              0.0001387
                     90,                0.37612,                0.21933,                0.85025,                0.95825,                0.98145,                  0.989,                 0.9303,                0.39418,                0.23077,                0.87152,              0.0001288,              0.0001288,              0.0001288
